merged_id;mm_id
1960_07Oct;2_1960
1960_13Oct;3_1960
1960_21Oct;4_1960
1960_26Sep;1_1960
1976_06Oct;6_1976
1976_22Oct;7_1976
1976_23Sep;5_1976
1980_21Sep;8_1980
1980_28Oct;9_1980
1984_07Oct;10_1984
1984_21Oct;12_1984
1988_25Sep;NOT_FOUND
1992_13Oct;18_1992
1992_15Oct;20_1992
1992_15Oct;21_1992
1996_06Oct;22_1996
1996_09Oct;23_1996
2000_03Oct;25_2000
2000_05Oct;26_2000
2000_11Oct;27_2000
2000_17Oct;28_2000
2004_05Oct;30_2004
2004_08Oct;31_2004
2004_13Oct;32_2004
2004_30Sep;29_2004
2008_07Oct;35_2008
2008_15Oct;36_2008
2008_26Sep;33_2008
2012_16Oct;39_2012
2016_09Oct;NOT_FOUND
2016_19Oct;NOT_FOUND
2016_26Sep;NOT_FOUND